Ward_ID,Ward_Name,Zone,Administrative_Body,Boundary_Type,Within_KMC_Limits,Latitude,Longitude,Distance_from_City_Center_km,Approx_Ward_Area_Sqkm,Approx_Boundary_Perimeter_km,Month,Season,Estimated_Waterlogged_Area_Percent,Boundary_Status
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2025-09,Monsoon (retreating),9.1,Partial Waterlogging
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2025-10,Post-Monsoon,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2025-11,Post-Monsoon,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2025-12,Winter,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-01,Winter,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-02,Winter,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-03,Pre-Monsoon,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-04,Pre-Monsoon,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-05,Pre-Monsoon,0,Normal
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-06,Monsoon,9.1,Partial Waterlogging
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-07,Monsoon,12.6,Significant Waterlogging
1,Behala,South West,KMC,KMC Ward,Yes,22.4989,88.3145,8.72,6.5,8.9,2026-08,Monsoon,12.6,Significant Waterlogging
2,Tollygunge,South,KMC,KMC Ward,Yes,22.5039,88.3423,7.37,5,7.8,2025-09,Monsoon (retreating),5,Partial Waterlogging
2,Tollygunge,South,KMC,KMC Ward,Yes,22.5039,88.3423,7.37,5,7.8,2025-10,Post-Monsoon,0,Normal
2,Tollygunge,South,KMC,KMC Ward,Yes,22.5039,88.3423,7.37,5,7.8,2025-11,Post-Monsoon,0,Normal
2,Tollygunge,South,KMC,KMC Ward,Yes,22.5039,88.3423,7.37,5,7.8,2025-12,Winter,0,Normal
