Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Elevation_Category,Relative_Elevation_vs_Sample_Mean_m,Flood_Vulnerability_Class_by_Elevation,Month,Season,Groundwater_Table_Depth_m,Waterlogging_Risk_from_Shallow_Table
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2025-09,Monsoon (retreating),0.78,Yes
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2025-10,Post-Monsoon,0.91,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2025-11,Post-Monsoon,1.1,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2025-12,Winter,1.3,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-01,Winter,1.49,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-02,Winter,1.62,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-03,Pre-Monsoon,1.76,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-04,Pre-Monsoon,1.76,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-05,Pre-Monsoon,1.56,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-06,Monsoon,1.17,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-07,Monsoon,0.85,No
1,Behala,South West,KMC,22.4989,88.3145,3,Low,-1.67,High,2026-08,Monsoon,0.72,Yes
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2025-09,Monsoon (retreating),1.14,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2025-10,Post-Monsoon,1.33,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2025-11,Post-Monsoon,1.61,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2025-12,Winter,1.9,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-01,Winter,2.18,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-02,Winter,2.38,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-03,Pre-Monsoon,2.56,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-04,Pre-Monsoon,2.56,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-05,Pre-Monsoon,2.28,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-06,Monsoon,1.71,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-07,Monsoon,1.23,No
2,Tollygunge,South,KMC,22.5039,88.3423,5,Moderate,0.33,Moderate,2026-08,Monsoon,1.04,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2025-09,Monsoon (retreating),1.32,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2025-10,Post-Monsoon,1.54,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2025-11,Post-Monsoon,1.87,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2025-12,Winter,2.2,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-01,Winter,2.53,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-02,Winter,2.75,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-03,Pre-Monsoon,2.97,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-04,Pre-Monsoon,2.97,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-05,Pre-Monsoon,2.64,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-06,Monsoon,1.98,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-07,Monsoon,1.43,No
3,Jadavpur,South,KMC,22.4994,88.3714,6,Moderate,1.33,Low-Moderate,2026-08,Monsoon,1.21,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2025-09,Monsoon (retreating),0.78,Yes
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2025-10,Post-Monsoon,0.91,No
