Ward_ID,Month,Historical_Rainfall_mm,Estimated_Rainy_Days,Rainfall_Category,Elevation_m,Groundwater_Table_Depth_m,Water_Body_Proximity,Impervious_Surface_Percent,Water_Surface_Percent,Seasonal_Green_Cover_Percent,Road_Density_Index_1to10,Drainage_Index_1to10,Storm_Drain_Coverage_Percent,Drain_Load_Utilization_Percent,Silt_Accumulation_Level,Reported_Road_Waterlogging_Incidents,Avg_Humidity_Percent,Heat_Index_C,Avg_Temperature_C,Estimated_Max_Temperature_C,Estimated_Min_Temperature_C,Forecast_Rainfall_mm,Forecast_Rainfall_Category,Flood_Risk_Level
1,2025-09,285.3,19,Wet,3,0.78,Yes (Hooghly-adjacent),87,3,11.5,6,4,42,84.8,Moderate,2,86.0,37.4,29.4,32.4,26.4,282.2,Wet,Moderate
1,2025-10,123.9,8,Moderate,3,0.91,Yes (Hooghly-adjacent),87,3,10.5,6,4,42,56.1,Moderate,0,75.1,30.2,27.5,31.0,24.0,139.5,Moderate,No Risk
1,2025-11,24.0,2,Dry,3,1.1,Yes (Hooghly-adjacent),87,3,9.0,6,4,42,38.3,High,0,61.2,23.1,23.1,27.1,19.1,23.1,Dry,No Risk
1,2025-12,5.0,0,Dry,3,1.3,Yes (Hooghly-adjacent),87,3,7.5,6,4,42,34.9,High,0,56.2,18.6,19.2,23.7,14.7,4.6,Dry,No Risk
1,2026-01,14.6,1,Dry,3,1.49,Yes (Hooghly-adjacent),87,3,7.0,6,4,42,36.6,High,0,55.2,19.5,20.0,24.5,15.5,14.3,Dry,No Risk
1,2026-02,24.9,2,Dry,3,1.62,Yes (Hooghly-adjacent),87,3,7.5,6,4,42,38.4,Very High,0,55.8,23.1,23.2,27.2,19.2,22.6,Dry,No Risk
1,2026-03,33.8,2,Dry,3,1.76,Yes (Hooghly-adjacent),87,3,8.0,6,4,42,40.0,Very High,0,55.9,27.8,27.0,30.5,23.5,38.8,Dry,No Risk
1,2026-04,43.9,3,Dry,3,1.76,Yes (Hooghly-adjacent),87,3,8.5,6,4,42,41.8,Very High,0,62.3,31.1,28.8,32.3,25.3,44.6,Dry,No Risk
1,2026-05,130.2,9,Moderate,3,1.56,Yes (Hooghly-adjacent),87,3,9.0,6,4,42,57.2,High,0,69.4,34.7,29.9,33.4,26.4,131.9,Moderate,No Risk
1,2026-06,292.7,20,Wet,3,1.17,Yes (Hooghly-adjacent),87,3,10.5,6,4,42,86.1,Low,2,79.7,39.6,30.6,33.1,28.1,281.9,Wet,Moderate
