Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Drainage_Index_1to10,Month,Season,Forecast_Rainfall_mm,Historical_Rainfall_mm_Reference,Forecast_vs_Historical_Error_Percent,Forecast_Rainfall_Category,Forecast_Issue_Lead_Time_Days,Flood_Risk_Level
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-09,Monsoon (retreating),282.2,285.3,-1.1,Wet,3,High
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-10,Post-Monsoon,139.5,123.9,12.6,Moderate,3,Medium
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-11,Post-Monsoon,23.1,24,-3.7,Dry,3,Low
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-12,Winter,4.6,5,-8.1,Dry,3,Low
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-01,Winter,14.3,14.6,-1.8,Dry,3,Low
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-02,Winter,22.6,24.9,-9.2,Dry,3,Low
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-03,Pre-Monsoon,38.8,33.8,14.8,Dry,3,Low
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-04,Pre-Monsoon,44.6,43.9,1.7,Dry,3,Low
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-05,Pre-Monsoon,131.9,130.2,1.4,Moderate,3,Medium
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-06,Monsoon,281.9,292.7,-3.7,Wet,3,High
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-07,Monsoon,343,353.9,-3.1,Very Wet,3,High
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-08,Monsoon,331.8,355.6,-6.7,Very Wet,3,High
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2025-09,Monsoon (retreating),257.4,261.3,-1.5,Wet,3,Medium
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2025-10,Post-Monsoon,131.2,131.9,-0.6,Moderate,3,Low
