Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Drainage_Index_1to10,Month,Season,Historical_Rainfall_mm,Citywide_Normal_Rainfall_mm,Deviation_from_Normal_Percent,Rainfall_Category,Estimated_Rainy_Days
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-09,Monsoon (retreating),285.3,269,6.1,Wet,19
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-10,Post-Monsoon,123.9,122,1.6,Moderate,8
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-11,Post-Monsoon,24,24,0.1,Dry,2
1,Behala,South West,KMC,22.4989,88.3145,3,4,2025-12,Winter,5,5,-0.5,Dry,0
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-01,Winter,14.6,13,12.1,Dry,1
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-02,Winter,24.9,24,3.7,Dry,2
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-03,Pre-Monsoon,33.8,34,-0.7,Dry,2
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-04,Pre-Monsoon,43.9,46,-4.5,Dry,3
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-05,Pre-Monsoon,130.2,121,7.6,Moderate,9
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-06,Monsoon,292.7,297,-1.4,Wet,20
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-07,Monsoon,353.9,337,5,Very Wet,24
1,Behala,South West,KMC,22.4989,88.3145,3,4,2026-08,Monsoon,355.6,327,8.8,Very Wet,24
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2025-09,Monsoon (retreating),261.3,269,-2.9,Wet,17
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2025-10,Post-Monsoon,131.9,122,8.1,Moderate,9
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2025-11,Post-Monsoon,24.5,24,2.2,Dry,2
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2025-12,Winter,5.2,5,4.9,Dry,0
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-01,Winter,12.8,13,-1.3,Dry,1
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-02,Winter,23.3,24,-3,Dry,2
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-03,Pre-Monsoon,34.2,34,0.6,Dry,2
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-04,Pre-Monsoon,42,46,-8.8,Dry,3
