Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Landscape_Type,Water_Body_Proximity,Month,Season,Avg_Humidity_Percent,Citywide_Normal_Humidity_Percent,Deviation_from_Normal_Percent,Humidity_Category,Avg_Temperature_C_Reference,Heat_Index_C
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2025-09,Monsoon (retreating),86,83,3.7,Very High,29.4,37.4
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2025-10,Post-Monsoon,75.1,76,-1.2,High,27.5,30.2
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2025-11,Post-Monsoon,61.2,65,-5.9,Moderate,23.1,23.1
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2025-12,Winter,56.2,58,-3.1,Moderate,19.2,18.6
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-01,Winter,55.2,58,-4.9,Moderate,20,19.5
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-02,Winter,55.8,57,-2.1,Moderate,23.2,23.1
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-03,Pre-Monsoon,55.9,58,-3.6,Moderate,27,27.8
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-04,Pre-Monsoon,62.3,65,-4.1,Moderate,28.8,31.1
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-05,Pre-Monsoon,69.4,70,-0.9,High,29.9,34.7
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-06,Monsoon,79.7,79,0.9,High,30.6,39.6
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-07,Monsoon,85.2,84,1.5,Very High,28.6,34.7
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,Yes (Hooghly-adjacent),2026-08,Monsoon,85.7,85,0.8,Very High,28.8,35.4
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2025-09,Monsoon (retreating),80.6,83,-2.9,Very High,28.3,33.1
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2025-10,Post-Monsoon,76.7,76,1,High,27.6,30.7
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2025-11,Post-Monsoon,68.1,65,4.8,High,23,23.1
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2025-12,Winter,58.2,58,0.3,Moderate,18.8,18.3
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-01,Winter,57,58,-1.8,Moderate,20.9,20.5
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-02,Winter,55.9,57,-1.9,Moderate,23.2,23
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-03,Pre-Monsoon,57.3,58,-1.1,Moderate,26.6,26.8
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-04,Pre-Monsoon,65,65,0,High,30.2,34.2
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-05,Pre-Monsoon,68.4,70,-2.3,High,29.8,34.2
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-06,Monsoon,79.5,79,0.7,High,30.1,37.8
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-07,Monsoon,88.9,84,5.9,Very High,29,36.9
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,No,2026-08,Monsoon,87.3,85,2.7,Very High,28.3,34.2
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2025-09,Monsoon (retreating),80.2,83,-3.4,Very High,29.8,37.2
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2025-10,Post-Monsoon,76.2,76,0.3,High,26.7,27.4
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2025-11,Post-Monsoon,65.9,65,1.5,High,22.4,22.4
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2025-12,Winter,59.6,58,2.8,Moderate,18.8,18.3
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2026-01,Winter,58.4,58,0.6,Moderate,19,18.5
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2026-02,Winter,58,57,1.8,Moderate,22.2,22
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2026-03,Pre-Monsoon,58.5,58,0.8,Moderate,26.6,26.8
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2026-04,Pre-Monsoon,62.6,65,-3.7,Moderate,30.3,34
3,Jadavpur,South,KMC,22.4994,88.3714,Urban/institutional,No,2026-05,Pre-Monsoon,68.4,70,-2.3,High,30.7,36.3
