Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Landscape_Type,Land_Use_Category,Water_Body_Proximity,Impervious_Surface_Percent,Water_Surface_Percent,Green_Cover_Baseline_Percent,Month,Season,Seasonal_Green_Cover_Percent
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2025-09,Monsoon (retreating),11.5
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2025-10,Post-Monsoon,10.5
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2025-11,Post-Monsoon,9
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2025-12,Winter,7.5
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-01,Winter,7
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-02,Winter,7.5
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-03,Pre-Monsoon,8
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-04,Pre-Monsoon,8.5
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-05,Pre-Monsoon,9
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-06,Monsoon,10.5
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-07,Monsoon,12
1,Behala,South West,KMC,22.4989,88.3145,3,Low-lying residential,Residential (low-lying),Yes (Hooghly-adjacent),87,3,10,2026-08,Monsoon,12.5
2,Tollygunge,South,KMC,22.5039,88.3423,5,Urban residential,Residential,No,87,1,12,2025-09,Monsoon (retreating),13.8
2,Tollygunge,South,KMC,22.5039,88.3423,5,Urban residential,Residential,No,87,1,12,2025-10,Post-Monsoon,12.6
2,Tollygunge,South,KMC,22.5039,88.3423,5,Urban residential,Residential,No,87,1,12,2025-11,Post-Monsoon,10.8
2,Tollygunge,South,KMC,22.5039,88.3423,5,Urban residential,Residential,No,87,1,12,2025-12,Winter,9
2,Tollygunge,South,KMC,22.5039,88.3423,5,Urban residential,Residential,No,87,1,12,2026-01,Winter,8.4
