Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Landscape_Type,Month,Season,Avg_Temperature_C,Estimated_Max_Temperature_C,Estimated_Min_Temperature_C,Citywide_Normal_Temperature_C,Deviation_from_Normal_C,Temperature_Category
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2025-09,Monsoon (retreating),29.4,32.4,26.4,29,0.4,Hot
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2025-10,Post-Monsoon,27.5,31,24,27,0.5,Warm
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2025-11,Post-Monsoon,23.1,27.1,19.1,23,0.1,Mild
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2025-12,Winter,19.2,23.7,14.7,19,0.2,Cool
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-01,Winter,20,24.5,15.5,20,0,Mild
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-02,Winter,23.2,27.2,19.2,23,0.2,Mild
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-03,Pre-Monsoon,27,30.5,23.5,27,0,Warm
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-04,Pre-Monsoon,28.8,32.3,25.3,30,-1.2,Warm
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-05,Pre-Monsoon,29.9,33.4,26.4,30,-0.1,Hot
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-06,Monsoon,30.6,33.1,28.1,30,0.6,Hot
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-07,Monsoon,28.6,30.6,26.6,29,-0.4,Warm
1,Behala,South West,KMC,22.4989,88.3145,Low-lying residential,2026-08,Monsoon,28.8,30.8,26.8,29,-0.2,Warm
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2025-09,Monsoon (retreating),28.3,31.3,25.3,29,-0.7,Warm
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2025-10,Post-Monsoon,27.6,31.1,24.1,27,0.6,Warm
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2025-11,Post-Monsoon,23,27,19,23,0,Mild
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2025-12,Winter,18.8,23.3,14.3,19,-0.2,Cool
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2026-01,Winter,20.9,25.4,16.4,20,0.9,Mild
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2026-02,Winter,23.2,27.2,19.2,23,0.2,Mild
2,Tollygunge,South,KMC,22.5039,88.3423,Urban residential,2026-03,Pre-Monsoon,26.6,30.1,23.1,27,-0.4,Warm
